model_idx,L2_loss,epsilon,evaluation_formula
0,1.3709100912338807,0.6812920690579612,out_of_sample_target_dual_log_scaling
1,1.4785385660650754,0.6812920690579612,out_of_sample_target_dual_log_scaling
2,1.3036273916360581,0.6812920690579612,out_of_sample_target_dual_log_scaling
3,1.4953803730128346,0.6812920690579612,out_of_sample_target_dual_log_scaling
4,1.3374250488633688,0.6812920690579612,out_of_sample_target_dual_log_scaling
5,1.3472416997836225,0.6812920690579612,out_of_sample_target_dual_log_scaling
6,1.4544073331874445,0.6812920690579612,out_of_sample_target_dual_log_scaling
7,1.421044637866477,0.6812920690579612,out_of_sample_target_dual_log_scaling
8,1.4684048720241991,0.6812920690579612,out_of_sample_target_dual_log_scaling
9,1.3907784374952326,0.6812920690579612,out_of_sample_target_dual_log_scaling
10,1.4281770236672349,0.6812920690579612,out_of_sample_target_dual_log_scaling
11,1.3440947650354176,0.6812920690579612,out_of_sample_target_dual_log_scaling
12,1.397015308986857,0.6812920690579612,out_of_sample_target_dual_log_scaling
13,1.36681675110509,0.6812920690579612,out_of_sample_target_dual_log_scaling
14,1.401906159794596,0.6812920690579612,out_of_sample_target_dual_log_scaling
15,1.4063383239098277,0.6812920690579612,out_of_sample_target_dual_log_scaling
16,1.424142256580114,0.6812920690579612,out_of_sample_target_dual_log_scaling
17,1.398199621626734,0.6812920690579612,out_of_sample_target_dual_log_scaling
18,1.3814667899739332,0.6812920690579612,out_of_sample_target_dual_log_scaling
19,1.394492373267925,0.6812920690579612,out_of_sample_target_dual_log_scaling
