ot_map,measure,d,n,estimator,reps,mean,median,sd,p25,p75,bootstrap_sd_mean,bootstrap_sd_median,epsilon,evaluation_formula,sinkhorn_method,non_convergence_warnings,overflow_warnings,other_warnings
CDF,normal,10,100,Entropic OT,100,0.162122801,0.1616449336,0.003032183862,0.1604726248,0.1638125975,0.0003013530831,0.0004296893884,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,10,100,Entropic OT,100,0.6434029601,0.6404041631,0.01777684712,0.6313765127,0.6515033265,0.001779564392,0.001710330611,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,4,0,0
quadratic,normal,10,100,Entropic OT,100,1.396993503,1.390363736,0.0834832681,1.343945498,1.434052244,0.008296774472,0.007459817146,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,51,0,0
CDF,t,10,100,Entropic OT,100,0.1634575434,0.1634689522,0.00263639856,0.1615915291,0.1652454619,0.00026903331,0.0003157618966,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,t,10,100,Entropic OT,100,1.06043996,1.040915757,0.08066902652,1.014285971,1.093116475,0.008200310995,0.007374659545,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,44,1,0
quadratic,t,10,100,Entropic OT,100,3.327911115,3.117372383,1.012077654,2.965398957,3.320188699,0.100773161,0.02884596799,0.6812920691,out_of_sample_target_dual_log_scaling,sinkhorn_log,46,44,0
CDF,normal,10,300,Entropic OT,100,0.1364782972,0.1363117502,0.00204118588,0.1353551547,0.1378153343,0.0002011341497,0.0002627069989,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,10,300,Entropic OT,100,0.5390751954,0.5380992673,0.008388905038,0.5337385342,0.5446301573,0.0008356499155,0.001158357581,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,2,0,0
quadratic,normal,10,300,Entropic OT,100,1.193551061,1.187766247,0.03682691412,1.170029395,1.213612294,0.003669508386,0.00533668223,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,39,0,0
CDF,t,10,300,Entropic OT,100,0.1353524528,0.1353849385,0.001989449104,0.134194312,0.1366354447,0.0001969160706,0.0001788901739,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,t,10,300,Entropic OT,100,0.8909345873,0.8828972629,0.04304258069,0.8611548581,0.9062924716,0.00430475085,0.003975388984,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,45,1,0
quadratic,t,10,300,Entropic OT,100,2.934876644,2.761720855,0.5492471387,2.611686886,3.060043151,0.05469097775,0.04542860804,0.6216890653,out_of_sample_target_dual_log_scaling,sinkhorn_log,48,47,0
CDF,normal,10,500,Entropic OT,100,0.1273301523,0.1274413579,0.001413373011,0.1263297494,0.12842979,0.0001448028893,0.000153316251,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,10,500,Entropic OT,100,0.4962246928,0.4967292885,0.007087837748,0.492457748,0.5002563359,0.0007064434043,0.0006392837174,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,4,0,0
quadratic,normal,10,500,Entropic OT,100,1.100297432,1.09931514,0.02556862535,1.077399581,1.117034144,0.002571094463,0.004591191396,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,45,1,0
CDF,t,10,500,Entropic OT,100,0.125584917,0.12539203,0.001434186435,0.1244329239,0.1266066817,0.0001456863427,0.0001946848013,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,t,10,500,Entropic OT,100,0.8217863541,0.815491971,0.03260161508,0.7982225163,0.839698928,0.00325457355,0.003826658698,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,41,3,0
quadratic,t,10,500,Entropic OT,100,2.734683791,2.592888549,0.5927857247,2.413160497,2.847011331,0.05918350239,0.05005492918,0.5957798805,out_of_sample_target_dual_log_scaling,sinkhorn_log,45,45,0
CDF,normal,10,1000,Entropic OT,100,0.1175783509,0.11746494,0.001238553239,0.1167731509,0.1182358596,0.0001252670909,0.0001458634152,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,normal,10,1000,Entropic OT,100,0.4413866588,0.4408699078,0.004787439955,0.4383046226,0.4434894747,0.000475728259,0.0007006042989,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,4,0,0
quadratic,normal,10,1000,Entropic OT,100,0.9933756586,0.9900607334,0.02042746753,0.9834184082,0.9998237363,0.002036088489,0.001647177742,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,52,1,0
CDF,t,10,1000,Entropic OT,100,0.1141512562,0.1140673173,0.00115661686,0.1134696774,0.114772571,0.0001144526568,0.0001170342376,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,0,0,0
piecewise_linear,t,10,1000,Entropic OT,100,0.7392664356,0.7356142651,0.0259387313,0.7199115557,0.7508200323,0.002597659566,0.003473057449,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,45,1,0
quadratic,t,10,1000,Entropic OT,100,2.399176419,2.301278753,0.4252219612,2.149816769,2.487425107,0.04207635787,0.03529716171,0.5623413252,out_of_sample_target_dual_log_scaling,sinkhorn_log,48,48,0
