model_idx,L2_loss,epsilon,evaluation_formula
0,0.9682881127629642,0.6812920690579612,out_of_sample_target_dual_log_scaling
1,1.2365729672703194,0.6812920690579612,out_of_sample_target_dual_log_scaling
2,1.0119455272022142,0.6812920690579612,out_of_sample_target_dual_log_scaling
3,1.1696969953793663,0.6812920690579612,out_of_sample_target_dual_log_scaling
4,1.0250378120722488,0.6812920690579612,out_of_sample_target_dual_log_scaling
5,1.0265388210380264,0.6812920690579612,out_of_sample_target_dual_log_scaling
6,1.1720890496045802,0.6812920690579612,out_of_sample_target_dual_log_scaling
7,1.1172066915099603,0.6812920690579612,out_of_sample_target_dual_log_scaling
8,1.0553739317056399,0.6812920690579612,out_of_sample_target_dual_log_scaling
9,1.0339042196903037,0.6812920690579612,out_of_sample_target_dual_log_scaling
10,0.9588320459288207,0.6812920690579612,out_of_sample_target_dual_log_scaling
11,1.1110392017152038,0.6812920690579612,out_of_sample_target_dual_log_scaling
12,1.0884320596306793,0.6812920690579612,out_of_sample_target_dual_log_scaling
13,0.9671812591998264,0.6812920690579612,out_of_sample_target_dual_log_scaling
14,1.0070957749795646,0.6812920690579612,out_of_sample_target_dual_log_scaling
15,1.1782118993531079,0.6812920690579612,out_of_sample_target_dual_log_scaling
16,1.0638503155922059,0.6812920690579612,out_of_sample_target_dual_log_scaling
17,1.0282881234319972,0.6812920690579612,out_of_sample_target_dual_log_scaling
18,1.092771449163739,0.6812920690579612,out_of_sample_target_dual_log_scaling
19,1.070953896190208,0.6812920690579612,out_of_sample_target_dual_log_scaling
