model_idx,L2_loss,epsilon,evaluation_formula
0,0.6423962941074582,0.6812920690579612,out_of_sample_target_dual_log_scaling
1,0.6206538895509023,0.6812920690579612,out_of_sample_target_dual_log_scaling
2,0.6576906464496401,0.6812920690579612,out_of_sample_target_dual_log_scaling
3,0.6767108116788735,0.6812920690579612,out_of_sample_target_dual_log_scaling
4,0.6389416413901979,0.6812920690579612,out_of_sample_target_dual_log_scaling
5,0.653747310063367,0.6812920690579612,out_of_sample_target_dual_log_scaling
6,0.6362644893360504,0.6812920690579612,out_of_sample_target_dual_log_scaling
7,0.6384041192195871,0.6812920690579612,out_of_sample_target_dual_log_scaling
8,0.6489690297380768,0.6812920690579612,out_of_sample_target_dual_log_scaling
9,0.6294668209274988,0.6812920690579612,out_of_sample_target_dual_log_scaling
10,0.6229550247137086,0.6812920690579612,out_of_sample_target_dual_log_scaling
11,0.6177799955011155,0.6812920690579612,out_of_sample_target_dual_log_scaling
12,0.6677608451425213,0.6812920690579612,out_of_sample_target_dual_log_scaling
13,0.6254671255538122,0.6812920690579612,out_of_sample_target_dual_log_scaling
14,0.6386771872677777,0.6812920690579612,out_of_sample_target_dual_log_scaling
15,0.6384851375496259,0.6812920690579612,out_of_sample_target_dual_log_scaling
16,0.6512722106775295,0.6812920690579612,out_of_sample_target_dual_log_scaling
17,0.6323548567891744,0.6812920690579612,out_of_sample_target_dual_log_scaling
18,0.6581514931146187,0.6812920690579612,out_of_sample_target_dual_log_scaling
19,0.6691760904005299,0.6812920690579612,out_of_sample_target_dual_log_scaling
