model_idx,L2_loss,epsilon,evaluation_formula
0,0.1631187687400361,0.6812920690579612,out_of_sample_target_dual_log_scaling
1,0.1602978533806822,0.6812920690579612,out_of_sample_target_dual_log_scaling
2,0.16359138895684386,0.6812920690579612,out_of_sample_target_dual_log_scaling
3,0.16507062544337994,0.6812920690579612,out_of_sample_target_dual_log_scaling
4,0.16113993223917045,0.6812920690579612,out_of_sample_target_dual_log_scaling
5,0.163982844296817,0.6812920690579612,out_of_sample_target_dual_log_scaling
6,0.16202994753654454,0.6812920690579612,out_of_sample_target_dual_log_scaling
7,0.16252289617890125,0.6812920690579612,out_of_sample_target_dual_log_scaling
8,0.16280550462377907,0.6812920690579612,out_of_sample_target_dual_log_scaling
9,0.16215707861827083,0.6812920690579612,out_of_sample_target_dual_log_scaling
10,0.16156151587496378,0.6812920690579612,out_of_sample_target_dual_log_scaling
11,0.16746004304265943,0.6812920690579612,out_of_sample_target_dual_log_scaling
12,0.16284739614698426,0.6812920690579612,out_of_sample_target_dual_log_scaling
13,0.16661699195095814,0.6812920690579612,out_of_sample_target_dual_log_scaling
14,0.1657699576234282,0.6812920690579612,out_of_sample_target_dual_log_scaling
15,0.16120116510838456,0.6812920690579612,out_of_sample_target_dual_log_scaling
16,0.16182974397974587,0.6812920690579612,out_of_sample_target_dual_log_scaling
17,0.16022650595688784,0.6812920690579612,out_of_sample_target_dual_log_scaling
18,0.16381406493177114,0.6812920690579612,out_of_sample_target_dual_log_scaling
19,0.16288158912034242,0.6812920690579612,out_of_sample_target_dual_log_scaling
