model_idx,L2_loss,epsilon,evaluation_formula
0,3.2032916897365706,0.6812920690579612,out_of_sample_target_dual_log_scaling
1,2.73945717203936,0.6812920690579612,out_of_sample_target_dual_log_scaling
2,3.0932833686481396,0.6812920690579612,out_of_sample_target_dual_log_scaling
3,2.9812596250031524,0.6812920690579612,out_of_sample_target_dual_log_scaling
4,3.148316830929881,0.6812920690579612,out_of_sample_target_dual_log_scaling
5,4.200702692811766,0.6812920690579612,out_of_sample_target_dual_log_scaling
6,3.269026365041123,0.6812920690579612,out_of_sample_target_dual_log_scaling
7,3.7879663570974884,0.6812920690579612,out_of_sample_target_dual_log_scaling
8,2.9254699801845505,0.6812920690579612,out_of_sample_target_dual_log_scaling
9,3.3474259607314356,0.6812920690579612,out_of_sample_target_dual_log_scaling
10,4.157981470692915,0.6812920690579612,out_of_sample_target_dual_log_scaling
11,2.8256000161693264,0.6812920690579612,out_of_sample_target_dual_log_scaling
12,3.3009462353683023,0.6812920690579612,out_of_sample_target_dual_log_scaling
13,3.011771298906238,0.6812920690579612,out_of_sample_target_dual_log_scaling
14,4.458931194118101,0.6812920690579612,out_of_sample_target_dual_log_scaling
15,4.715989698234003,0.6812920690579612,out_of_sample_target_dual_log_scaling
16,3.161330007737846,0.6812920690579612,out_of_sample_target_dual_log_scaling
17,3.123724442067179,0.6812920690579612,out_of_sample_target_dual_log_scaling
18,3.526531649854526,0.6812920690579612,out_of_sample_target_dual_log_scaling
19,3.476607571447757,0.6812920690579612,out_of_sample_target_dual_log_scaling
