model_idx,L2_loss,epsilon,evaluation_formula
0,0.16648615009544268,0.6812920690579612,out_of_sample_target_dual_log_scaling
1,0.16612715220642665,0.6812920690579612,out_of_sample_target_dual_log_scaling
2,0.15967325968187104,0.6812920690579612,out_of_sample_target_dual_log_scaling
3,0.165447336725159,0.6812920690579612,out_of_sample_target_dual_log_scaling
4,0.16219175345806433,0.6812920690579612,out_of_sample_target_dual_log_scaling
5,0.16465858521106042,0.6812920690579612,out_of_sample_target_dual_log_scaling
6,0.16065803012030588,0.6812920690579612,out_of_sample_target_dual_log_scaling
7,0.16069024538825338,0.6812920690579612,out_of_sample_target_dual_log_scaling
8,0.164845455799507,0.6812920690579612,out_of_sample_target_dual_log_scaling
9,0.16231210005965743,0.6812920690579612,out_of_sample_target_dual_log_scaling
10,0.16621866257005238,0.6812920690579612,out_of_sample_target_dual_log_scaling
11,0.1674335423632912,0.6812920690579612,out_of_sample_target_dual_log_scaling
12,0.16003483069402014,0.6812920690579612,out_of_sample_target_dual_log_scaling
13,0.1684038528085645,0.6812920690579612,out_of_sample_target_dual_log_scaling
14,0.16560991800797495,0.6812920690579612,out_of_sample_target_dual_log_scaling
15,0.1656495897706193,0.6812920690579612,out_of_sample_target_dual_log_scaling
16,0.16430796760896083,0.6812920690579612,out_of_sample_target_dual_log_scaling
17,0.16520842068245045,0.6812920690579612,out_of_sample_target_dual_log_scaling
18,0.16860820355933878,0.6812920690579612,out_of_sample_target_dual_log_scaling
19,0.16534448180827868,0.6812920690579612,out_of_sample_target_dual_log_scaling
